text,label
导航定位不准，经检查GPS天线损坏，更换GPS天线,0.75
空调不制冷经查是冷凝器出液管前管总成密封不良导致拆装更换冷凝器出液管前管总成,0.69
客户反映行驶时80码~90码踩急刹方向盘抖动，检查发现是左前刹车盘不平整导致行驶时踩刹车方向盘抖动，更换前制动盘,0.68
发动机舱内部哒哒响，经检测皮带张紧器响，更换张紧轮,0.76
左前门线束内部导通不良，需更换前门线束-左。,0.81
空调不制冷，经检测前舱保险盒内部接触不良，更换保险盒,0.74
客户反应车辆行驶时，打方向有异响，技师检查动力转向中间轴总成不良。,0.72
动力转向高压管密封不良，漏油，需更换        ,0.69
左后门线束内部故障，导致左后门锁不上，需更换,0.78
车辆行驶中发动机会突然熄火，经检查为燃油箱内部故障导致突然断油从而引起发动机熄火。,0.46
该车辆偶尔挂四驱爬坡时异响，分解分动箱后新旧链条对比发现链条拉长导致爬坡时异响，发现链条拉长松旷导致分动箱内部磨损损坏。确定为链条拉长导致，故申请更换链条后故障排除。,0.65
副驾驶座椅坐人时有异响，检查为座椅内部弹簧异响，更换乘客座椅,0.84
客户反映空调不制冷，经检查发现高压接口处漏冷媒，紧固接口添加冷媒后故障消失。,0.71
客户反映方向盘旷量大，维修技师检查后判断故障为转向拉杆磨损松旷导致，更换转向拉杆，故障排除。,0.68
车辆转向拉杆松旷，行驶中底盘异响，更换转向拉杆总成,0.67
该车反映车辆副驾驶把手皮革边缘翘起，经过检查判断副驾驶把手皮革底层胶处理不当导致其翘起。,0.84
客户到店反应车辆行驶打方向时有异响，技师检查发现为转向中间轴异响，材质不良，需更换新的解决问题,0.67
该车辆开空调异响，根据BJ40L Plus空调异响处理技术通讯处理办法进行泄压操作，重新抽真空加氟，确认为压缩机总成内部故障造成车辆异响，需更换压缩机总成后排除故障。,0.69
"此车为救援车辆，因要换发动机，所以车辆留在本店，客户打电话反应车辆还有其他问题,经过检查发现，私服电机连动杆脱落，内外循环不起作用，需更换进风壳体总成",0.35
车辆行驶中突然异响后动力下降无法行驶，检查发现前桥内部轴承脱落、左前半轴磨损严重，更换前桥及左前半轴后故障排除。,0.61
客户打电话报救援车辆在挂4驱时车辆前轮底部会有很大的异响声，技术主管鉴定为前桥故障。,0.68
左前半轴衬套漏油，经检测是衬套密封不良导致，更换后故障排除,0.69
车辆行驶时底盘吱吱吱异响，更换减振垫后故障排除。,0.71
挂四驱分动器咔咔响，经检测是传动链条故障导致。,0.7
左遮阳板损坏，经检查左遮阳板自然裂开，更换,0.74
，经我站维修技师检查发现：冷凝器工作正常，鼓风机风扇运转正常，检查空调管路各个接口处没有泄露现象，后排查发现由于压缩机不工作导致空调不凉，更换压缩机总成，故障排除。,0.62
车子进店反映加速异响，经维修技师检测发现加速到转速1500转涡能就开始嘶嘶嘶的异响，打开机盖用听诊器听，发现涡能内部异响，需更换换增压器,0.69
"扭杆弹簧质量不良,导致车辆挂倒挡底盘有异响，需更换",0.65
"左后门锁不住,检查为左后门线束内部电路故障所致，更换左后门线束故障排除。",0.81
车子进店反映刹车刹不住，经维修技师检测发现真空助力器泄压导致刹车刹不住，更换真空助力泵总成,0.49
此车左前门玻璃升降缓慢卡滞，经维修技师检查，判断是左前门玻璃升降器故障导致，需更换,0.81
车辆行驶中偶发熄火，经检查燃油三通管渗油导致，更换燃油箱总成。,0.15
客户反映车辆空调不凉，到店后经技师检查确定是其机舱电器盒上盖本体总成故障导致，无法维修，更换消除,0.75
车辆ABS灯亮，检查故障码为C003708：轮速传感器，左后，超出范围，丢失，噪声，间歇。更换左后ABS传感器故障消失。,0.77
车辆底盘拉杆松旷间隙大导致车辆行驶中异响，更换转向拉杆总成,0.75
压缩机皮带老化开裂，更换压缩机皮带后故障排除,0.84
车辆底盘拉杆松旷间隙大，导致车辆行驶中底盘有异响，更换转向拉杆总成,0.69
90码左右踩刹车方向盘抖动，检查是两前制动盘故障。更换两前制动盘,0.65
用户反映60-70码时踩刹车发抖，检查并测试为左、右前制动盘故障导致，更换左、右前制动盘。,0.73
客户反映车辆行驶中左右底盘异响，经维修技师检查为左右轮毂油封与左右前半轴油封故障，更换左右轮毂油封与左右前半轴油封。,0.65
车辆行驶中底盘有异响，检查为动力转向中间轴间隙大导致，更换动力转向中间轴,0.68
客户进站反馈遥控器钥匙失灵，无法锁车。技师按遥控门键锁无反应，按开门锁也无反应，用电脑匹配时电脑也显示匹配失败，判断为遥控钥匙内部故障导致失灵,0.85
前门外拉手有起皮爆漆现象（见附件），申请更换前门外手柄总成-左,0.86
客户进店反映车辆行驶中机舱有嗡嗡异响声，检查发电机故障故更换；,0.26
车辆开暖风时有异响。经技师检查发现为车辆温度循环伺服电机异响。需更换温度循环伺服电机。,0.64
车辆底盘漏油。经技师检查发现转向回油软管与硬管压接角度、尺寸不符合原设计状态，软管受力变形，导致压接处漏油。需更换动力转向回油管总成。,0.63
客户反映车辆急加速时消音器有异响，进店检查消音器无刮蹭，更换消音器及中间管总成异响消除。,0.67
该车辆的左后门锁工作不良，需更换左后门锁，故障现象已经解决,0.81
客户反应车辆无法启动，经维修技师检查车辆有油有电 车辆不启动，维修技师多次检测发现车辆仪表线束退针导致车辆无法启动，处理线束后故障解除。,0.26
转动方向盘时 有异响，经检查确认动力转向中间轴总成故障，更换后故障排除,0.64
坡度仪内液面减少，检查为坡度仪密封不良漏液，更换坡度仪,0.62
客户反映车辆右后刹车盘上有油渍，经检查为制动钳漏油，更换后故障解除。,0.61
客户反映车辆踩刹车时能听到漏气异响，经检查为真空助力器漏气，更换后故障解除。,0.68
倒车雷达控制器内部损坏导致功能失效造成倒车时后面无障碍物时雷达报警，雷达探头工作正常，更换倒车雷达控制器，故障排除。,0.52
用户反映：车辆在正常行驶时左右打方向异响，经检查动力转向中间轴总成十字轴松旷导致异响，更换新件后故障排除。,0.69
车辆行驶中踩刹车、倒车时底盘异响，加装扭力杆胶套后故障排除。,0.66
车辆换挡困难，经技师试车发现车辆倒挡、1挡、3挡5挡可以正常挂入，2挡、4挡、6挡无法挂入，挂入档位后无法换挡。考虑是军车技师便与军车技术科老师联系，建议更换变速箱总成。变速箱由技术科协调给予配发。,0.65
客户反映车辆正常行驶仪表气囊灯常亮，进店检查组合仪表存在故障，更换组合仪表故障消除。,0.76
"发动机悬置支架,发动机怠速运转时，发动机不稳定抖动，更换发动机悬置支架排除故障",0.34
该车反映车辆行驶异响，经过检查发现中横拉杆球头故障导致其行驶异响,0.69
客户反映左前日间行车灯进水起雾，维修人员检查判断为左昼间行车灯密封不良导致，建议更换左昼间行车灯,0.78
客户反应PVC管开裂，经过技师检查故障存在，更换PVC管排除故障,0.65
顾客反应底盘漏油。经检查右半轴和前桥连接处漏油，更换半轴油封后故障排除。,0.69
顾客反应底盘漏油。经吊起检查发现回油管软管与接头处有漏油现象，更换动力转向回油管后故障排除。,0.68
客户反映有油有电车辆无法启动，技师检查是诊断确定是燃油箱燃油泵总成问题，更换后故障排除,0.36
客户反应防侧滑灯偶尔亮，经过技师检查是CAN总线SAS超时，诊断为ESP模块故障，申请更换ESP模块排除故障。,0.74
客户进店反应车辆行驶异响，店内实车检查发现为扭力杆故障所致，属于配件本身故障，已更换减振垫，特此申请，请老师批准,0.68
客户车子在行驶时会出现异响，到店经师傅检查后发现为发动机惰轮出现的问题，更换发动机惰轮。,0.38
客户到店反映，该车左右后组合尾灯灯内集成水珠，我店对故障进行检查，用干纸巾擦拭，确认为灯内形成水珠，无法消除，故申请更换。,0.79
客户反应车辆漏油，行驶时车抖，经检查为气门室罩内，外密封垫变形导致，车抖因单向阀断裂导致，需要更换内、外气门室垫及单向阀排除故障。,0.78
客述车辆停车时底盘有较大的咯吱声。实车检查判断为减震垫异常磨损导致异响。更换后测试故障排除,0.73
客户致电反应车辆行驶中底盘异响，水温高，打方向时方向盘间隙过大，外门拉手松动，后仓门开关时异响。经检查发现方向机游动间隙过大，需要方向机。,0.74
该客户到点反映，车辆时常性点火不来油，经检测为车身线束总成油泵线速接头处已烧融导致接触不良，故更换车身线束总成,0.52
车辆换挡变速箱异响 检查为换挡轴与定位机构组件间隙不良导致摩擦导致 需更换,0.53
客户反应左后轮胎气门嘴漏气，经检查需更换胎压监测传感器左后，更换后车辆正常,0.68
前门外手柄总成-左漆面不良掉漆褪色，需更换后故障可排除,0.85
储物盒总成（真皮）材质不良挂钩断裂，需更换后故障可排除,0.84
该车打方向时方向盘底部有异响，经过检查发现是动力转向中间轴故障导致。,0.69
客户来店反映车子四驱没有、分动箱异响，维修人员初步确认为分动器内部故障，分解后发现链条拉长。需更换链条,0.63
左前门线束磨损断裂，更换左前门线束，故障排除,0.78
客户反映车辆停放一周左右就会出现无法启动现象，经维修人员检查电瓶亏电严重，建议更换导航主机,0.13
车辆进店检查左前门玻璃无法升降，检查是玻璃升降器问题，需更换升降器和玻璃,0.77
