text,label
该车辆的右前制动钳出现明显的偏磨现象，需更换右前制动钳，故障现象已经解决,0.86
该车辆的左前制动钳出现明显的偏磨现象，需更换左前制动钳，故障现象已经解决,0.86
客户反应该车有时候加油不畅，经检查发现该车PVC管总成有裂缝，更换PVC管总成后故障排除,0.63
气囊灯亮起，故障码是安全气囊阻值高，更换时钟弹簧后故障消除,0.72
车辆右后视镜错位与左前门玻璃接触无间隙，后视镜无法调节，更换右后视镜后故障排除。,0.75
客户反映副驾玻璃升降困难，经检查为右前门锁块总成故障，无法修复只有更换。,0.81
车辆启动后机舱内有漏气声，检查为PCV管断裂，更换PCV管总成后正常。,0.63
该车底盘漏油，经技师举升车辆检查为后桥壳焊接处开裂导致导致漏油。无磕碰痕迹，建议更换后桥壳。,0.59
客户进店反映，车辆机舱内有油迹，技师检查为助力回油管密封不严导致漏油，需更换回油管总成排除故障,0.59
车辆在行驶倒车刹车时会有异响声，之前根据文件加装的减震垫已磨损坏，现经技师确定仍需加装减震垫.,0.83
车辆侧滑灯亮，经检查为组合开关内部线路故障导致，更换后故障消失。,0.84
该车左前、左后、后背门外拉手掉漆，配件喷涂不良受外部环境影响导致，更换后故障排除。,0.87
该车检查时发现右后线束有断裂情况，分析应是右后门线束材质问题导致其断裂。,0.73
打方向很重，检查动力转向液正常，检查为动力转向泵故障，更换动力转向泵及皮带轮总成后正常。,0.68
左前门在里面打不开，经检测左前门内拉线故障，更换拉线,0.73
行驶时机舱内异响，检查为皮带张紧器异响，更换皮带张紧器总成后正常。,0.65
该车无法熄火且仪表指示灯频闪，车辆行驶存在安全隐患，拖车回站检查是右后门线束断裂导致线路不通，材质不良受开关门导致断裂，更换右后门线束总成。,0.32
左前门锁不上，经检测左前门线束接触不良，更换左前门线束,0.71
保养天窗总成-左天窗总成-左天窗总成-左天窗总成-左天窗总成-左,0.92
前门左侧密封条卡不住，在开关门时边角处自动脱落，更换前门左侧密封条，排除故障,0.85
客户反映车辆副驾驶车门无法锁闭，进店检查更换右前门锁体总成。,0.58
用户反映：后门电动门窗 不能正常升降。经检查 （ 后门电动升降器总成-右 ） 内部故障导致。更换后门电动升降器总成-右后故障排除。,0.75
车子走在半路上动力转向泵感应塞漏油十分厉害，导致发动机声音大，车子无法行驶，需更换动力转向泵及皮带轮总成。,0.45
本车辆客户反应打方向异响，经维修师傅检查发现是动力转向中间轴总成有间隙导致，属于配件质量问题，无法修复，建议更换动力转向中间轴总成，故障解除。,0.63
客户反映车辆使用空调时异响，检查发现为压缩机异响，更换压缩机故障排除。,0.72
客户反映怠速发动机抖动，经检查为发动机及变速箱机爪垫老化故障，需更换。,0.79
车辆无法启动，经技师检修发现燃油泵线束及车身线束插头烧灼接触不良。需更换油泵线速和车身线速。,0.1
该车反映车辆制动时异响，经过检查发现左右制动分泵间隙大导致其制动异响,0.56
皮带异常磨损破裂，检查皮带上未卡异物，更换多楔皮带后正常。,0.81
客户反映车辆底盘下方有油渍，经检查为半轴油封密封不良，更换后故障解除,0.78
此车辆坡度仪漏油，检查为坡度仪由于材质不佳密封不良漏油所致，更换坡度仪故障排除。,0.75
车辆左后门 右后门升降器不好使 更换左后门 右后门线束 故障排除,0.82
客户反映车辆有时锁车无法锁车，经技师检查确定是其后门线束-左故障导致，无法维修，更换消除,0.69
客述车辆空调不制冷，实车测试发现为空调管路与压缩机连接处密封失效导致在使用过程中冷媒泄漏。密封后测试故障排除。,0.71
客户反映车辆无法正常启动，经技师检查发现燃油箱及后轮速传感器线束与车身线束接口处插头烧蚀导致，更换两根线束后故障解除。,0.1
车辆行驶中底盘有异响，检查为后传动轴异响，更换后传动轴总成,0.72
正常行驶，换挡延迟，且换挡有严重冲击，需更换变速箱总成。,0.61
军车进店反应底盘行驶中有异响，经过技师检查故障存在，诊断为后桥内部故障，申请后桥总成排除故障。,0.71
"左后门锁不住,检查为左后门线束内部电路故障所致，更换左后门线束故障排除。",0.82
II1I11客户反映车子打不着火，进店检查发现车身无改装，线路无故障，取下电瓶测量电压显示需更换，换上新的电瓶后可以发动，静置电流值0.00属正常范围，建议更换蓄电池,0.32
客人在正常行驶当中，加速无力发动机异响在厂反复检查加空油到2500转左右，增压器部位有明显的异响，异响录音已上传附件，判断为增压器内部有异响建议更换涡轮增压。,0.59
故障车辆无法从车内开门，仅检测为内拉手手柄卡箍处裂开，更换门内手柄总成-右。,0.86
检修车子ABS故障灯亮，维修人员读取故障码:C003A08 轮速传感器，右后（信号故障）超出范围，丢失，噪声，间隙，检查确认系换右后轮速传感器内部故障。更换处理,0.73
客户反应行驶时前轮异响，维修技师检查为前半轴油封故障导致，更换后故障排除。,0.77
客户进站反映行驶途100迈以上踩刹车方向盘左右抖动，我站维修技师试车后判断为制动盘故障，测量跳动量后需更换左前右前制动盘处理。,0.79
该车走不平路面时底部异响，我站维修技师检测为横拉杆故障，更换转向拉杆总成后试车，故障排除。,0.75
车辆正常行驶时底盘异响，经检测发现因前传动轴异常磨损导致。,0.76
客户进店反映空调不制冷，检查发现空调冷凝器总成渗漏，更换后排除,0.78
该车辆储物盒总成（真皮）打不开，查为储物盒总成（真皮）材质不良导致，需更换储物盒总成（真皮）后故障排除。,0.82
客户反映车辆偶发性无法去启动，经检查右前、左后、右后门线束断裂搭铁短路导致通信不良造成无法起动，更换右前，左后，右后车门线束,0.56
客户反应坡度仪损坏，进店检查里面的水漏完了，申请索赔,0.49
本车辆客户反应走在颠簸路面右前部有异响，经维修师傅检查发现是右前上控臂球头有间隙导致，属于配件质量问题，无法修复，建议更换上控制臂总成-右，故障解除。,0.62
车辆停放一天后无法启动，检查为车辆放电车身控制模块故障，更换车身控制模块排除故障。,0.26
该车辆行驶到120迈踩刹车时方向盘抖动。检查为制动盘由于材质不佳异常磨损导致制动盘不平所致，需更换前轮制动盘,0.63
客述车辆无冷风。实车检查后发现车辆压缩机不工作对压缩机 进行检测后发现压缩机内部损坏导致，现申请更换压缩机总成,0.78
传动轴漏油  经技师检查是前传动轴承总成密封不良导致 需更换,0.79
客户反映车辆尾门中间密封条脱落，经维修技师检查故障属实，判断是尾门中间密封条老化导致脱落，建议更换车辆尾门中间密封条，望老师批准。,0.84
车辆加不起速经查是涡轮叶片卡死导致，油门踩到底涡轮只有两格，需拆装更换增压器总成（有两个螺丝锈死）,0.46
车辆有油有电无法启动，排查线束发现车身线束与燃油箱线束对接插头烧蚀，更换车身线束和燃油箱线束后故障排除。,0.12
该车后轮速传感器线束断裂，我站维修技师检查为线束故障，更换燃油箱及后轮速传感器线束后试车，故障排除。,0.75
右外后视镜折叠时有吱嘎异响，折叠机构内部干涉产生异响，更换处理,0.81
该车反映车辆行驶中前部嗞嗞异响，经过检查判断转向助力泵内部故障导致其嗞嗞异响。,0.7
在行驶中换挡时出现咔咔异响，为万向节间隙不良导致，需更换半轴,0.74
客户反映使用车辆行驶踩刹车不灵刹车发硬，经检查为制动总泵及真空助力器总成故障导致刹车不灵发硬。,0.23
扶手箱上盖中间部位凹陷，检查非人为损坏，更换扶手箱上盖,0.86
车主来电反映该车打不着火，经我站电话指导无法排除，初步判断是电瓶没电导致，到达现场检查测量的数据发现是发电机不发电导致，更换发电机故障排除！,0.1
客户反映车子有油有电无法启动，检查发现启动时起动机可以正常运转但车子无法启动，发现故障点为车身线束与燃油箱及后轮速传感器线束插头烧蚀，先跨接线路，后期到店更换相关线束。,0.12
车辆到店检查车辆开空调没风，经技师检查为调速模块故障，更换排除。,0.79
客户描述空调不管用，经维修师傅检查为机舱电器盒上盖本体总成故障导致，更换后故障排除,0.78
该车蓄电池电眼观察口周围漏电解液，材质不良所致，需更换,0.15
客户进厂反映行驶时车轮有异响，经技师检查发现为车轮盖松动导致车轮异响，确认为车轮盖故障，更换后故障排除。,0.75
车辆转向回油管出现漏油更换故障件后试车故障排除,0.56
经技师检查，燃油滤清器滴油，需更换燃油滤清器,0.49
客户反应踩制动踏板硬，维修技师检查为真空压力传感器故障导致，更换后故障排除。,0.51
车主反映该车打方向异响，更换动力转向中间轴总成,0.68
客户描述车辆经常会出现打不着车，进店检查发现车身线束头针头内有烧蚀现象，确定为车身线束烧蚀导致故障。更换车身线束和燃油箱及后轮速传感器后故障排除,0.23
空调声音很大，经检查膨胀阀故障，更换膨胀阀，故障排除。,0.78
客户反映车辆行驶时后方有异响，经技师试车检查异响存在，为减速器异响，需更换主减速器总成。,0.75
该车大灯高度无法调节，电脑检测显示故障码：执行器故障-右DHL电机故障，总成件，更换右前照灯。,0.76
客户反应空调不凉，进店发现故障存在，压缩机离合器不吸合，检查确认压缩机离合器磨破电源线造成短路导致，申请索赔,0.74
不着车，更换新的点火锁壳总成之后故障盘排除。,0.48
压缩机皮带有裂痕，无法使用，更换皮带后故障排除。,0.65
左前门锁体内部卡滞时常无法打开车门，需更换前门锁体,0.72
客户反应左前门玻璃无法升降，检查判断为玻璃升降内部故障导致，更换左前门玻璃升降器总成,0.83
客户反映行驶时底盘噪音大，有异响，经过技师检查故障存在，诊断为消声器及中间管总成内部故障，申请更换消声器及中间管总成排除故障,0.76
此车油表数不准确，经检查为油浮子故障，此配件不单独提供，更换汽油泵总成后正常。,0.56
右后门玻璃升降不能升降，维修技师检查右后门线束已断，更换线束故障排除,0.83
客户反映车辆多媒体DA主机WIFI功能无法打开升级后测试故障依旧，经检查为多媒体DA主机故障。,0.79
车辆转向时底盘有异响，检查为左右扭杆弹簧问题，拆装后加上橡胶垫解决,0.76
左前门玻璃不能升降 检查需更换左前门玻璃升降器,0.82
仪表显示左前门未关，经检查左前门线束断路，更换前门线束-左,0.83
检查空调不制冷，检查发现继电器合无控制电到压缩机，调换同款车继电器合后故障排除，判断为继电器合内部故障导致更换继电器合,0.75
该车左外后视镜无法折叠，维修技师检查发现左前门线束故障，更换左前门线束后故障排除,0.84
客户反应偶尔后雨刮自己工作，经过技师检查故障存在，诊断是是组合开关总成故障，更换组合开关总成排除故障。,0.86
该用户反映该车换四驱档时分动箱内有异响，经我服务站维修师检查由于链条异常磨损造成的，属于质量问题，需要更换,0.32
客户反应车辆没有4驱，到店经技师检查发现其分动箱壳体有裂痕漏油，经客户同意拆解分动箱发现其链条断裂，检查确定是其链条断裂时打到壳体导致漏油，无法维修，更换消除,0.12
左前胎压监测传感器内部故障，导致左前轮胎压不显示，需更换,0.68
客户反映关闭左前门时胶条会爆出来，建议更换前门密封条-左,0.78
客户反映使用车辆行驶打方向有嗒嗒嗒异响，经检查为动力转向中间轴总成故障导致异响。,0.69
"顾客反映，尾灯有雾水，无法散去，经维修技师检测，属于本身质量问题，需更换左,右尾灯。",0.78
客户反应玻璃升降有异响，经过技师检查故障存在，诊断是前门电动玻璃升降器-左故障，更换前门电动玻璃升降器-左排除故障。,0.83
显示屏偶发花屏，重新安装显示屏拔插插头故障依旧，确认显示屏自身故障，申请索赔,0.61
该车怠速时噪音大，维修技师接车路试后诊断为皮带惰轮和涨紧轮故障，更换后故障排除,0.63
客户反应雨刮水壶漏水，检查雨刮水壶无碰撞痕迹，判断为雨刮水壶老化导致漏水，更换雨刮水壶总成,0.85
转动方向盘时车内有响声，需更换动力转向中间轴。,0.69
车辆后排中间座椅处有凹陷的地方，无人为损坏的痕迹。我站维修技师检查结果是后排座椅双人靠背总成内部结构问题导致的凹陷，属于质量问题，更换新后排座椅左总成工艺合件后故障解除,0.87
油箱盖打不开经查是燃油箱盖带防水帽总成内部故障导致拆装更换燃油箱盖带防水帽总成,0.21
打车时呲啦响，经检测是起动机和飞轮齿轮磨损导致，需更换起动机总成,0.12
涡轮增压器内部蹿机油，我站维修技师检查为涡轮增压器内部故障，建议更换增压器总成处理。,0.63
车主来电反映该车底盘漏油，经我站维修技术人员检查无碰撞现象，判断是动力转向器总成密封不良导致更换动力转向器总成添加润滑油故障排除！,0.59
行驶中加油门底盘异响，经检测是消声器内部故障导致，更换后故障排除,0.71
车辆进店客户反映刹车抖动，技师实车路试车速70km/H时刹车抖动，测量刹车盘跳动量是0.06-0.07mm（实际少于0.05）按要求更换前刹车盘左右,0.63
该用户反映该车转向无助力，经我服务站维修师检查由于转向泵内部故障造成的，属于质量问题，更换后故障排除,0.57
车辆主机开不了机，经查是主机内部故障导致需拆装更换主机,0.11
军车启动后底盘冒黑烟，且从排气管内有滴油现象，经检查，快速泵油装置总成内部损坏所致,0.05
客户反映，挂四驱非常重挂不到位，挂到四驱后无法切换两驱，一直在四驱上，检查四驱换档杆，四驱换挡拉线无故障，分动箱拨叉处卡死，需更换分动箱，因客户要求，愿意加钱更换加强型分动箱,0.56
风窗洗涤器储水罐有漏水现像，经检查属水罐密封不良，需更换风窗洗涤器储水罐总成。,0.82
客户致电通知本车需要更换副气囊，因车辆特殊保障任务无法进店，我服务站上门为之更换及检查胎压报警。,0.65
该车传动轴与分动器结合部位漏油，经检查油封密封不良所致，需更换油封,0.69
蓄电池极板短路造成电瓶破损，电解液流出，车辆无法打着行驶，更换蓄电池后故障排除。,0.31
打方向异响，检查为动力转向中间轴异响，更换动力转向中间轴总成后正常。,0.73
客户反映80码以上行驶中刹车方向盘抖动厉害，技师检查是前制动盘平面不平，确定是前制动盘问题，更换前制动盘后故障排除,0.72
车子进店反映防冻液总是缺，经维修技师检测发现副水壶盖子密封不严，导致漏油，更换水壶盖子,0.69
车主进店报修其车辆有漏水现象，需要检查维修！,0.72
车辆行驶中制动力不足、制动偏软，经军车区域经理秦伟勋老师安排重新对制动系统进行升级更换。,0.73
车子进店反映变速器不换挡，经维修技师检测发现变速器内部故障，更换变速箱总成,0.55
车主反映左前门外拉手脱漆，经查、前门外手柄总成-左漆面脱落属于质量原因，需更换,0.86
车辆在行驶中往右跑偏，经过四轮定位检测发现左前倾角偏高，更换轮毂及轴承总成及左转向节之后故障排除。,0.49
客户进店反映，车辆左后门无法关闭，技师检查为左后门线束断裂导致，需更换左后门线束排除故障,0.72
客户反映行驶时左前方有异响，检查发现前传动轴旷动，故申请更换前传动轴,0.7
军车启动后发动机抖动严重，经电脑检查故障码为0332、4缸喷油器电磁阀驱动电路；0324、3缸喷油器电磁阀驱动电路；故我站判断为3、4缸喷油器总成内部故障导致,0.24
客户反映空调时有时无，检查发现压缩机不工作，测量压缩机端电压发现没有电压，由此可以判定压缩机继电器出现故障，而压缩机继电器是和前舱继电器盒为一体的，现申请更换前舱继电器盒,0.65
车辆行驶速度超过80km/h时，正常制动方向盘抖动严重，进店测量制动盘跳动量差值超过0.05，制动盘厚度差超过0.015，确认制动盘导致抖动，申请索赔,0.69
此车在行驶中突然出现故障码后自动熄火，经维修技师检查后是发动机舱线束总成传输信号故障导致需更换,0.14
此车左后门线束故障导致左后门无法开闭，索赔更换左后门线束。,0.72
客户描述多媒体屏幕有时花屏闪屏也伴随着死机现象，进店拆掉主机检查后边线路，线路正常，替换屏幕后故障依旧，确定为主机故障，需更换主机总成。,0.73
客户来店反映车子玻璃升降不灵，维修人员检查确认系右前门玻璃下方支架断裂导致玻璃升降不了，车子没有外力撞击。需更换右前门玻璃总成,0.79
客户反应车辆在打方向的时候会有咚咚的异响，经售后技师检测属于转向管柱中间轴故障，需要更换，详情见附件,0.68
客户车辆进行保养时发现底盘下方有明显油渍，经技师检查油渍来自动力转向器，需更换动力转向器总成。,0.63
本车辆客户反应手套箱关不严，有裂缝，经维修师傅检查判断是手套箱总成有间隙导致，属于配件质量问题，无法修复，建议更换手套箱总成，故障解除。,0.84
（巴山）客户反映车辆左后前玻璃升降困难，经维修技师检查为后门玻璃升降器总成-左故障，更换后门玻璃升降器总成-左。,0.83
客户描述：车辆开启空调时“叽叽”异响；经维修技师检查后诊断为鼓风机内部卡滞导致，更换鼓风机总成后故障排除,0.07
客户进店反映在用车过程中仪表盘会偶发性的出现黑屏，只有断电后重启车辆故障才会消失，后期还会出现，经技师检查判定仪表盘内部不良导致故障，需更换组合仪表总成，修复车辆。,0.73
按遥控器闭锁按钮后右后门无法上锁，其他车门正常，拆开右后门线束发现是线束断裂导致，更换右后门线束总成后故障排除,0.71
车辆行驶中底盘有异响，经我站维修技师检查后发现，减震垫材质不良异常磨损，导致减震垫开裂产生异响 ，属于量问题，更换减震垫后故障排除  ,0.75
客户反应该车右后门玻璃下降时有异响（附视频）经检查发现该车右后门电动玻璃升降器故障，更换右后门电动玻璃升降器后故障排除,0.79
挂四驱受力行驶时底盘异响，经检查底盘螺旋没有松动，分动器内部链条打滑导致异响，更换链条,0.63
车辆打方向时异响，检查车辆发现动力转向中间轴总成异响，倒换动力转向中间轴总成故障消除，更换动力转向中间轴总成。,0.65
主消声器内部故障，导致车辆加速噪音大，需更换,0.81
后传动轴异响，经检查发现因后传动轴质量问题导致。,0.68
车辆无法启动。经技师检查发现为车辆燃油泵故障。需更换燃油泵总成。,0.32
客户反映怠速时皮带跳动大，维修技师检查后确认故障为张紧器故障导致，更换张紧器，故障排除。,0.75
左前下摆臂开裂，检查无人为损坏及碰撞，更换下控制臂总成-左,0.78
经检查车辆解锁和锁车时左侧后视镜不折叠。检查故障为左外后视镜内部电机断路导致车辆左外后视镜无法折叠。,0.79
客户来店反映车辆车门右前门锁不住车门，技师检查是车门线束故障，在之前客户车辆的全车门线束有断裂情况，需更换全车门线束。,0.73
后主减速器与壳体密封面漏油，密封不良导致漏油，拆装主减速器重新打胶处理,0.76
客户反应打转向灯组合开关不回位，经过检查发现组合开关存在故障，需更换组合开关总成,0.78
流媒体后视镜黑屏显示后摄像头故障标识，经检测为流媒体后视镜摄像头故障，更换流媒体后视镜摄像头后故障排除,0.82
主消声器内部故障，导致车辆加速有异响，需更换,0.81
车辆右前门玻璃不完全升起时在不平路面行驶“哒哒”异响严重，拆检发现为玻璃升降器滑块与滑轨间隙过大导致，属于材质不良磨损间隙，更换玻璃升降器后故障消失。,0.83
反映车辆启动故障灯亮，进店检查故障代码C00A700右后轮速传感器故障。更换右后轮速传感器故障排除。,0.79
该车反映车辆行驶中前部异响，经过检查发现左前车轮盖松动导致其行驶异响。,0.71
打不着车，经检测是燃油泵故障导致，更换后故障排除,0.14
客户进店检查车辆，经过技师检查发现皮带开裂，诊断为材质不良导致，更换皮带排除故障。,0.84
该车辆的左前门升降器上升缓慢，需更换升降器，故障显现已经解决,0.83
左后尾灯不亮，经检测是组合灯故障导致，更换后故障排除,0.8
客户反映：车辆走颠簸路面时，有咯噔咯噔的异响声，经检查由于平衡杆间隙过大所造成。更换平衡杆立杆，故障排除。,0.73
颠簸路面时主驾座椅响，经检测主驾座椅螺栓不松动，座椅骨架靠背内部松旷，更换主驾座椅,0.84
该车辆怠速时异响，技师检查为皮带张紧器总成发出，更换后故障排除,0.76
右后门框下密封条翘起松动卡不住间隙大，更换后故障排除,0.85
"左后门锁不住,检查为左后门线束内部电路故障所致，更换左后门线束故障排除。",0.71
右前门玻璃升降器不能升降，经检测是玻璃升降器钢丝断了导致，需更换玻璃升降,0.83
打不着车，经检测是燃油泵故障导致，更换后故障排除,0.14
车辆保养时发现左前门线束断裂损坏，无法正常使用，更换后故障排除,0.72
该车进厂后电脑检测仪器显示为驾驶员安全气囊故障需要更换更换时钟弹排除故障、簧,0.73
刹车跑偏抖动，经检查前制动盘磨损不均匀导致，更换故障排除。,0.65
车主反映该车皮带异响，检查判断是皮带材质不佳导致，更换多楔皮带故障排除！,0.85
左前门主密封条破裂，装配操作不良，更换左前门主密封条。,0.79
客户反应油表不准，经过技师检查故障存在，诊断是燃油箱燃油泵总成故障，更换燃油箱燃油泵总成排除故障。,0.16
左后门电动玻璃升降器拉线断开，经检查材质不良，需更换新件，换后故障消除。,0.81
车辆进店检查反应车辆开暖风有异响，经过维修技师诊断确实存在此故障，检查为暖风机工作不良导致，更换鼓风机后故障消失,0.72
客户进站检测坡度仪漏液，经检测属于质量问题，需更换。,0.76
车辆正时盖漏油，故障为前盖密封不良，拆装前盖，密封打胶，补充机油，燃车观察，故障排除！,0.75
.客户来店检查高温，副驾驶漏水，经检查是蒸发箱漏防冻液，蒸发箱水箱链接管破裂导致，管路接头在蒸发箱上焊接，不单独提供.需更换蒸发箱总成 ,0.77
车辆打方向盘时异响，经检查方向中间轴处异响，更换后故障排除。,0.69
顾客反映，后雨刮电机不工作，经维修技术检测，属于电机内部故障，需要更换后雨刮电机和支架总成。,0.72
我站技师试车发现故障确实存在，检查方向机拉杆球头，均属正常，最终判断为动力转向中间轴内部故障，需更换，更换后故障排除,0.68
车辆左后门打不开，检查为后门锁体故障导致，更换后故障排除。,0.75
客户反应该车左前门玻璃脱落，经检查发现该车左前门电动玻璃升降器故障（附照片）更换左前门电动玻璃升降器后故障排除,0.83
客户反应该车发动机故障灯亮，经检查故障码P0037后氧传感器故障，更换后氧传感器车辆正常,0.82
客户反应该车左后门锁上后有时打不开，经检查发现该车左后门锁总成故障，更换左后门锁总成后故障排除,0.79
客户反应后雨刮不工作，检查为后雨刮电机和支架内部故障导致，更换后雨刮电机和支架总成,0.78
客户反映行驶颠簸路时会有异响，经检查为后横向推力杆总成老化松动导致，需更换后横向推力杆总成,0.68
左前胎压不显示，重新学习不成功，传感器故障，更换处理,0.71
客户反映刹车有异响，经路试故障存在，判定扭力梁异响，按照技术通信要求加装扭力梁衬套,0.65
客户反映车辆行驶中机舱有异响，经检查为皮带张紧器间隙大故障导致，更换后试车正常,0.78
客户反映机油冷却器漏油，维修技师检查后确认故障为机油冷却器密封不严导致漏油，更换机油冷却器，故障排除。,0.62
客户反映行驶中车顶异响，维修技师紧固车顶螺丝，重新安装胶条并在车顶连接处上油润滑后试车故障依旧存在，判断后顶盖内部存在异常松动导致异响，因此更换后顶盖总成。,0.85
车辆尾门中间密封条塑性变形，经检查，尾门中间密封条材质不良所致,0.83
客户反映车辆左前轮打转向有异响和左后门锁不上，经师傅检测后需更换左后门线束及轮毂油封，轮毂内轴承，轮毂外轴承,0.69
动力转向中间轴间隙不良导致左右打转向时有嗒嗒异响，更换后故障排除,0.71
副驾座椅质量不良，导致车辆行驶颠簸路段异响。需更换,0.85
客户反映：车辆底部有漏油现象，经检查由于：后差速器内部密封不良所造成。我站维修技师拆下差速器外壳重新打胶处理以后，故障排除。,0.71
车辆空调不制冷，试车显示A/C打开电子扇工作，压缩机离合器不吸合，检查压缩机保险确认已熔断，按照城市猎人版发动机线束排查确认线束端子位置错误，,0.74
该车辆的左前门线速工作不良，需更换左前门线束，故障现象已经解决,0.78
客户反应ABS故障灯亮，经过检查发现右后轮速传感器开路，需更换右后轮速传感器,0.68
车辆无前驱，检查为两前半轴断裂导致，更换后故障排除。,0.69
客户反映副驾侧把手开裂，维修人员检测为副驾侧把手配件材质不良导致，更换后故障消失。,0.81
客户反应后视镜进水，进店检查确认故障存在，后视镜自身密封不良导致，申请索赔,0.83
客户反应该车走颠路打方向有异响（附视频）经检查发现该车动力转向中间轴总成故障，更换动力转向中间轴后故障排除,0.69
客户反映无法喷水出来，维修人员检查发现是喷水嘴头掉落导致无法喷水，建议更换前喷嘴总成,0.73
车辆的两个前减震漏油，更换左右前减震之后故障排除。,0.76
客户反映打方向异响，特别是走颠簸路面，到店经技师检查为动力转向中间轴总成配件本身不良，需更换动力转向中间轴总成，修复车辆,0.68
车辆进店检查反应扶手箱扣不上，经过维修技师检查为确实存在此故障，检查发现扶手箱卡子断裂，配件自身材质不良，更换扶手箱后故障排除,0.87
客户反映刹车灯偶尔常亮，检查发现是制动开关故障，建议更换制动开关,0.71
